latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.57573,-80.79443,298.79,0.65,0.73,2026-08-29,0618,N20,nominal,2.0NRT,281.5,1.75,N
46.04346,-73.144,317.96,0.55,0.51,2026-08-29,0618,N20,nominal,2.0NRT,286.79,3.13,N
45.83878,-73.2513,315.51,0.55,0.51,2026-08-29,0618,N20,nominal,2.0NRT,285.53,2.7,N
45.64495,-73.52489,297.14,0.57,0.52,2026-08-29,0618,N20,nominal,2.0NRT,286.69,1.24,N
45.34182,-73.52736,296.15,0.57,0.52,2026-08-29,0618,N20,nominal,2.0NRT,284.12,1.07,N
45.34193,-73.5272,295.77,0.57,0.52,2026-08-29,0618,N20,nominal,2.0NRT,284.09,1.26,N
45.30365,-74.99406,296.6,0.33,0.56,2026-08-29,0618,N20,nominal,2.0NRT,279.83,0.4,N
45.11169,-73.01527,296.87,0.53,0.5,2026-08-29,0618,N20,nominal,2.0NRT,283.29,0.78,N
44.17031,-76.80342,298.23,0.4,0.6,2026-08-29,0618,N20,nominal,2.0NRT,285.8,1.17,N
23.14255,-81.7183,311.03,0.51,0.66,2026-08-29,0622,N20,nominal,2.0NRT,288.38,2.02,N
44.16632,-76.80444,302.43,0.4,0.6,2026-08-29,0618,N20,nominal,2.0NRT,286.56,1.81,N
44.0576,-77.12322,298.55,0.42,0.61,2026-08-29,0618,N20,nominal,2.0NRT,285.23,0.73,N
23.14212,-81.7213,309.88,0.51,0.66,2026-08-29,0622,N20,nominal,2.0NRT,288.31,2.4,N
43.49515,-79.62944,298.68,0.55,0.68,2026-08-29,0618,N20,nominal,2.0NRT,284.32,0.89,N
20.69447,-75.89375,324.21,0.4,0.44,2026-08-29,0625,N20,nominal,2.0NRT,292.61,1.99,N
43.4929,-79.62674,299.88,0.55,0.68,2026-08-29,0618,N20,nominal,2.0NRT,285.39,0.86,N
20.69398,-75.8899,305.4,0.4,0.44,2026-08-29,0625,N20,nominal,2.0NRT,292.45,1.63,N
20.48434,-74.9754,297.15,0.53,0.42,2026-08-29,0625,N20,nominal,2.0NRT,279.91,0.94,N
43.2694,-79.81139,325.59,0.56,0.69,2026-08-29,0620,N20,nominal,2.0NRT,287.03,3.38,N
43.263,-79.81171,321.57,0.56,0.69,2026-08-29,0620,N20,nominal,2.0NRT,286.76,3.38,N
